ID,Módulo,Feature,Escenario (Gherkin),Técnica de Diseño,Prioridad,Precondiciones (Given),Pasos (When),Resultado Esperado (Then),Resultado Obtenido,Estado (Pasó/Falló),Ejecutado Por,Fecha Ejecución,Observaciones
CP-TKT-05,Tickets,Listado de Tickets,"Manejo de error de API",Manejo de errores,Media,"Autenticado, API responde con error","Navega a listado de tickets","No crashea, loading desaparece",,,,, 
CP-TKT-06,Tickets,Creación de Tickets,"Formulario muestra campos requeridos",Análisis funcional,Media,"Autenticado","Navega a crear ticket","Muestra campos Título, Descripción y botón Crear Ticket",,,,, 
CP-TKT-07,Tickets,Creación de Tickets,"Creación exitosa de ticket",Partición de equivalencia,Alta,"Autenticado con user_id","Completa formulario → clic Crear Ticket","Crea ticket, refresca notificaciones, redirige a /tickets",,,,, 
CP-TKT-08,Tickets,Creación de Tickets,"Error al crear ticket muestra mensaje",Manejo de errores,Media,"Autenticado, API responde con error","Completa formulario → clic Crear Ticket","Muestra mensaje de error 'Validation error'",,,,, 
CP-TKT-09,Tickets,Creación de Tickets,"Redirige a login si no hay usuario",Análisis funcional,Alta,"Usuario no autenticado (user null)","Intenta crear ticket","Redirige a /login",,,,, 
CP-TKT-10,Tickets,Eliminación de Tickets,"Eliminar ticket con confirmación",Partición de equivalencia,Alta,"Autenticado como admin, ticket existente","Clic eliminar → confirma en modal","Elimina ticket vía API",,,,, 
CP-DET-01,Detalle Ticket,Visualización Detalle,"Carga detalle por ID de ruta",Análisis funcional,Alta,"Ticket existente con id 42","Navega a /tickets/42","Llama a getTicket con id 42",,,,, 
CP-DET-02,Detalle Ticket,Visualización Detalle,"Muestra estado de carga",Análisis funcional,Baja,"API respondiendo lento","Navega al detalle","Muestra indicador de carga",,,,, 
CP-DET-03,Detalle Ticket,Sección Respuestas,"Creador ve respuestas existentes",Partición de equivalencia (roles),Alta,"Autenticado como creador, ticket con 2 respuestas","Navega al detalle del ticket","Muestra sección Respuestas con 2 items en orden cronológico con admin y fecha",,,,, 
CP-DET-04,Detalle Ticket,Sección Respuestas,"Sin respuestas muestra empty state",Valor límite,Media,"Autenticado como creador, ticket sin respuestas","Navega al detalle","Muestra 'Aún no hay respuestas para este ticket'",,,,, 
CP-DET-05,Detalle Ticket,Sección Respuestas,"No creador y no admin ve acceso restringido",Partición de equivalencia (roles),Alta,"Autenticado como otro usuario (no creador ni admin)","Navega al detalle","No muestra respuestas, muestra mensaje de acceso restringido",,,,, 
CP-DET-06,Detalle Ticket,Sección Respuestas,"Admin ve respuestas de cualquier ticket",Partición de equivalencia (roles),Alta,"Autenticado como admin (no creador)","Navega al detalle","Muestra sección Respuestas con todas las respuestas",,,,, 
CP-DET-07,Detalle Ticket,Formulario Respuesta Admin,"Admin ve formulario en ticket OPEN",Partición de equivalencia,Alta,"Admin autenticado, ticket estado OPEN","Ve el detalle del ticket","Muestra textarea, botón Responder y contador 0/2000",,,,, 
CP-DET-08,Detalle Ticket,Formulario Respuesta Admin,"Admin ve formulario en ticket IN_PROGRESS",Partición de equivalencia,Media,"Admin autenticado, ticket estado IN_PROGRESS","Ve el detalle del ticket","Muestra formulario con botón Responder y contador 0/2000",,,,, 
CP-DET-09,Detalle Ticket,Formulario Respuesta Admin,"Usuario regular no ve formulario",Partición de equivalencia (roles),Alta,"User autenticado (rol USER), ticket OPEN","Ve el detalle del ticket","No muestra textarea ni botón Responder",,,,, 
CP-DET-10,Detalle Ticket,Formulario Respuesta Admin,"Admin no ve formulario en ticket CLOSED",Partición de equivalencia (estados),Alta,"Admin autenticado, ticket CLOSED","Ve el detalle del ticket","No muestra formulario, muestra aviso de ticket cerrado",,,,, 
CP-DET-11,Detalle Ticket,Estado Botón Responder,"Botón deshabilitado con textarea vacío",Valor límite,Media,"Admin autenticado, ticket OPEN","Ve el formulario sin escribir","Botón Responder deshabilitado",,,,, 
CP-DET-12,Detalle Ticket,Estado Botón Responder,"Botón se habilita al escribir",Valor límite,Media,"Admin autenticado, ticket OPEN","Escribe texto en textarea","Botón Responder se habilita",,,,, 
CP-DET-13,Detalle Ticket,Estado Botón Responder,"Botón se deshabilita al borrar texto",Valor límite,Media,"Admin autenticado, textarea con texto","Borra todo el texto","Botón Responder se deshabilita",,,,, 
CP-DET-14,Detalle Ticket,Límite Caracteres,"Contador se actualiza al escribir",Valor límite,Media,"Admin autenticado, ticket OPEN","Escribe 'Hola' en textarea","Muestra contador '4 / 2000'",,,,, 
CP-DET-15,Detalle Ticket,Límite Caracteres,"Textarea tiene maxLength 2000",Valor límite,Media,"Admin autenticado","Ve formulario de respuesta","Textarea tiene maxLength=2000",,,,, 
CP-DET-16,Detalle Ticket,Límite Caracteres,"Contador muestra 2000/2000 al límite",Valor límite,Media,"Admin autenticado","Escribe 2000 caracteres","Muestra '2000 / 2000'",,,,, 
CP-DET-17,Detalle Ticket,Envío Respuesta,"Envío exitoso de respuesta",Partición de equivalencia,Alta,"Admin autenticado, ticket OPEN","Escribe respuesta → clic Responder","Invoca API, respuesta aparece en lista, limpia textarea, contador 0/2000, Toast éxito",,,,, 
CP-DET-18,Detalle Ticket,Envío Respuesta,"Error al enviar muestra Toast de error",Manejo de errores,Alta,"Admin autenticado, API responde error","Escribe respuesta → clic Responder","Toast error, textarea conserva texto",,,,, 
CP-PRI-01,Prioridad,Visualización Prioridad,"Prioridad High se muestra como Alta",Partición de equivalencia,Media,"Ticket con prioridad 'High'","Ve detalle del ticket","Muestra 'Alta'",,,,, 
CP-PRI-02,Prioridad,Visualización Prioridad,"Prioridad Medium se muestra como Media",Partición de equivalencia,Media,"Ticket con prioridad 'Medium'","Ve detalle del ticket","Muestra 'Media'",,,,, 
CP-PRI-03,Prioridad,Visualización Prioridad,"Prioridad Low se muestra como Baja",Partición de equivalencia,Media,"Ticket con prioridad 'Low'","Ve detalle del ticket","Muestra 'Baja'",,,,, 
CP-PRI-04,Prioridad,Visualización Prioridad,"Sin prioridad muestra Unassigned",Valor límite,Media,"Ticket sin prioridad asignada","Ve detalle del ticket","Muestra 'Unassigned'",,,,, 
CP-PRI-05,Prioridad,Gestión Prioridad Admin,"Admin cambia prioridad a HIGH",Partición de equivalencia,Alta,"Admin autenticado, ticket OPEN, prioridad Unassigned","Selecciona High → clic Guardar","Invoca updatePriority con prioridad 'High'",,,,, 
CP-PRI-06,Prioridad,Gestión Prioridad Admin,"Callback onUpdate tras cambio exitoso",Análisis funcional,Media,"Admin autenticado, ticket OPEN","Cambia prioridad y guarda","onUpdate invocado con ticket actualizado",,,,, 
CP-PRI-07,Prioridad,Gestión Prioridad Admin,"No se puede volver a UNASSIGNED",Partición de equivalencia,Alta,"Admin autenticado, ticket con prioridad Medium","Intenta seleccionar Unassigned","Opción Unassigned no disponible en selector",,,,, 
CP-PRI-08,Prioridad,Gestión Prioridad Admin,"Forzar UNASSIGNED no invoca API",Manejo de errores,Media,"Admin autenticado, prioridad Medium","Fuerza valor Unassigned → clic Guardar","updatePriority no es invocado",,,,, 
CP-PRI-09,Prioridad,Gestión Prioridad Admin,"Usuario regular no ve control prioridad",Partición de equivalencia (roles),Alta,"User rol USER, ticket OPEN","Ve detalle del ticket","Control de prioridad no visible",,,,, 
CP-PRI-10,Prioridad,Gestión Prioridad Admin,"Usuario no autenticado sin control",Partición de equivalencia (roles),Media,"Usuario no autenticado","Intenta ver detalle","Control de prioridad no visible",,,,, 
CP-PRI-11,Prioridad,Gestión Prioridad Admin,"Ticket CLOSED bloquea cambio prioridad",Partición de equivalencia (estados),Alta,"Admin autenticado, ticket CLOSED","Ve detalle del ticket","Control de prioridad no visible",,,,, 
CP-PRI-12,Prioridad,Gestión Prioridad Admin,"Ticket CLOSED no invoca API prioridad",Manejo de errores,Media,"Admin autenticado, ticket CLOSED","Intenta cambiar prioridad","updatePriority no invocado",,,,, 
CP-ASG-01,Asignaciones,Listado Asignaciones,"Estado de carga al iniciar",Análisis funcional,Baja,"API respondiendo lento","Navega a asignaciones","Muestra indicador de carga",,,,, 
CP-ASG-02,Asignaciones,Listado Asignaciones,"Muestra título del ticket",Partición de equivalencia,Alta,"Existen 2 asignaciones","Navega a asignaciones","Muestra títulos de tickets en tarjetas",,,,, 
CP-ASG-03,Asignaciones,Listado Asignaciones,"Muestra badge con ID del ticket",Análisis funcional,Media,"Existen asignaciones","Navega a asignaciones","Muestra badges #100 y #101",,,,, 
CP-ASG-04,Asignaciones,Listado Asignaciones,"Prioridad en español",Partición de equivalencia,Media,"Asignaciones con prioridad HIGH y MEDIUM","Navega a asignaciones","Muestra 'Alta' y 'Media'",,,,, 
CP-ASG-05,Asignaciones,Listado Asignaciones,"Nombre del agente asignado",Partición de equivalencia,Alta,"Asignación con agente 'carlos.gomez'","Navega a asignaciones","Muestra 'Asignación: carlos.gomez'",,,,, 
CP-ASG-06,Asignaciones,Listado Asignaciones,"No asignado sin agente",Valor límite,Media,"Asignación sin agente","Navega a asignaciones","Muestra 'No asignado'",,,,, 
CP-ASG-07,Asignaciones,Listado Asignaciones,"Estado vacío sin asignaciones",Valor límite,Media,"0 asignaciones","Navega a asignaciones","Muestra estado vacío",,,,, 
CP-ASG-08,Asignaciones,Listado Asignaciones,"Contador de tareas",Análisis funcional,Baja,"2 asignaciones","Navega a asignaciones","Header muestra '2 tareas'",,,,, 
CP-ASG-09,Asignaciones,Listado Asignaciones,"Manejo de error de API",Manejo de errores,Media,"API responde error","Navega a asignaciones","No crashea",,,,, 
CP-ASG-10,Asignaciones,Listado Asignaciones,"Funciona si servicio usuarios falla",Manejo de errores,Media,"API asignaciones OK, API usuarios error","Navega a asignaciones","Muestra tickets sin nombre de agente",,,,, 
CP-NOT-01,Notificaciones,Listado Notificaciones,"Estado de carga al iniciar",Análisis funcional,Baja,"API respondiendo lento","Navega a notificaciones","Muestra indicador de carga",,,,, 
CP-NOT-02,Notificaciones,Listado Notificaciones,"Muestra notificaciones tras cargar",Partición de equivalencia,Alta,"Existen 2 notificaciones","Navega a notificaciones","Muestra ambas notificaciones",,,,, 
CP-NOT-03,Notificaciones,Listado Notificaciones,"Estado vacío sin notificaciones",Valor límite,Media,"0 notificaciones","Navega a notificaciones","Muestra estado vacío",,,,, 
CP-NOT-04,Notificaciones,Listado Notificaciones,"Contador en header",Análisis funcional,Baja,"2 notificaciones","Navega a notificaciones","Header muestra '2 mensajes'",,,,, 
CP-NOT-05,Notificaciones,Listado Notificaciones,"Manejo de error de API",Manejo de errores,Media,"API responde error","Navega a notificaciones","Muestra estado vacío sin crashear",,,,, 
CP-SEC-01,Seguridad,Rutas Protegidas,"Loading mientras verifica auth",Análisis funcional,Media,"Auth loading = true","Accede a ruta protegida","Muestra 'Cargando...' sin contenido",,,,, 
CP-SEC-02,Seguridad,Rutas Protegidas,"Redirige a /login si no autenticado",Partición de equivalencia,Alta,"No autenticado","Accede a ruta protegida","Redirige a /login",,,,, 
CP-SEC-03,Seguridad,Rutas Protegidas,"Autenticado accede al contenido",Partición de equivalencia,Alta,"Autenticado con rol USER","Accede a ruta protegida","Contenido protegido visible",,,,, 
CP-SEC-04,Seguridad,Rutas Protegidas,"No admin redirigido en ruta admin",Partición de equivalencia (roles),Alta,"Autenticado USER, ruta requireAdmin","Accede a ruta admin","Redirige a /tickets",,,,, 
CP-SEC-05,Seguridad,Rutas Protegidas,"Admin accede a ruta admin",Partición de equivalencia (roles),Alta,"Autenticado ADMIN, ruta requireAdmin","Accede a ruta admin","Contenido protegido visible",,,,, 
CP-SEC-06,Seguridad,Cookies HttpOnly,"ticketApiClient con withCredentials",Análisis de seguridad,Alta,"App configurada","Verifica config del cliente","withCredentials = true",,,,, 
CP-SEC-07,Seguridad,Cookies HttpOnly,"notificationApiClient con withCredentials",Análisis de seguridad,Alta,"App configurada","Verifica config del cliente","withCredentials = true",,,,, 
CP-SEC-08,Seguridad,Cookies HttpOnly,"assignmentApiClient con withCredentials",Análisis de seguridad,Alta,"App configurada","Verifica config del cliente","withCredentials = true",,,,, 
CP-SEC-09,Seguridad,Cookies HttpOnly,"usersApiClient con withCredentials",Análisis de seguridad,Alta,"App configurada","Verifica config del cliente","withCredentials = true",,,,, 
CP-E2E-01,E2E,Flujo Completo,"Flujo completo: registro → login → crear ticket → ver → notificación",E2E / Smoke Test,Crítica,"Sistema con todos los microservicios activos","Registro → Login → Crear ticket → Ver en lista → Admin cambia estado → Notificación → Responder → Marcar leída","Cada paso completa sin errores 500, datos persisten correctamente",,,,, 
